choice,RT,trial,reward
1,0.14585114898898702,514,1
1,0.20967137103676342,516,0
1,0.1797913760314646,517,1
1,0.4125306678159289,519,1
1,0.2729366930626834,520,1
1,0.13585619869894183,521,1
1,0.32050079518417124,522,0
1,0.21984409008626166,523,1
1,0.3910549978631626,525,1
1,0.29456207380174665,526,1
1,0.2176075961268837,529,0
1,0.15010635285465915,530,0
1,0.5015706022200244,531,1
1,0.44490066729661853,535,0
1,0.1474454450868836,536,1
1,0.3724075415701667,537,1
1,0.7743495606474267,538,1
1,0.34656564106595106,539,1
1,0.31747274011796367,540,1
1,0.19207384263213761,542,1
1,0.24496187276808595,543,1
1,0.17256189043934198,544,0
1,0.3322836255879593,545,1
1,0.2628571365116821,546,1
1,0.3662042176925958,547,1
1,0.5513409423172926,548,1
1,0.21802711951644702,549,1
1,0.5242254518069984,550,1
1,0.20862770297528857,551,1
1,0.31441489130362854,552,1
1,0.6507073280976263,553,1
1,0.20739871909774021,554,1
1,0.33887604495168094,556,1
1,0.3343370540307396,557,0
1,0.19905122981585083,558,1
1,0.2993494024182184,559,1
1,0.20239490501300822,560,0
1,0.23284869576559722,562,1
1,0.2217882860026069,563,1
1,0.21618671065523834,565,1
1,0.3708599948339716,566,1
1,0.2947484151104798,567,1
1,0.24207543515867014,568,1
1,0.2851396965919818,569,1
1,0.19021983738910633,570,0
1,0.15364301417224652,572,1
1,0.18460560715005053,573,1
1,0.2022403957264086,574,1
1,0.24374460921635638,576,1
1,0.19255650158407672,578,1
1,0.40451309669068386,579,1
1,0.546084450090845,580,1
1,0.17585941482467943,581,1
1,0.2681545727197139,583,1
1,0.22104305264135704,584,0
1,0.28072520050690875,585,1
1,0.37453365317051357,586,1
1,0.46043898680603557,587,1
1,0.23357918374786996,588,1
1,0.31668358481006775,589,1
1,0.14501473633063366,590,1
1,0.33380657424298643,591,1
1,0.20455881135307305,592,0
1,0.20818419797842316,595,1
1,0.17648419235610516,598,0
1,0.2761828820175537,599,1
1,0.2960893861281176,600,1
1,0.20137041217197427,601,1
1,0.16584045616149704,602,1
1,0.44431124072624584,603,1
1,0.6068842733929798,604,0
1,0.2603265723916349,605,1
1,0.3900964145397086,606,0
1,0.14435118046915418,607,1
1,0.23729533423519186,608,0
1,0.21761765333886482,609,1
1,0.5967360893624577,610,1
1,0.19753602903730158,612,1
1,0.16745835572807388,613,0
1,0.21603687585636394,614,1
1,0.47676504854057544,615,1
1,0.24099436999715798,616,1
1,0.15729067870197086,617,1
1,0.18812963026115975,618,1
1,0.5404338446957466,619,1
1,0.27088563561251516,620,0
1,0.19094265403597965,622,1
1,0.21612890095796056,623,1
1,0.17941812191745232,624,1
